1780,260,-145>1906,260,-170
1906,260,-120>1780,260,-95
1906,260,-170>2012,260,-241
2012,260,-191>1906,260,-120
2012,260,-241>6272,260,-7492
6224,260,-7492>2012,260,-191
6272,260,-7492>6378,260,-7563
6330,260,-7563>6224,260,-7492
6378,260,-7563>6504,260,-7588
6456,260,-7588>6330,260,-7563
6504,260,-7588>6630,260,-7563
6582,260,-7563>6456,260,-7588
6630,260,-7563>6736,260,-7492
6688,260,-7492>6582,260,-7563
6736,260,-7492>6807,260,-7386
6759,260,-7386>6688,260,-7492
6784,260,-7260>6759,260,-7386
6807,260,-7386>6832,260,-7260
